symbol_1,symbol_2,pubmed_ids
DLG4,TANC1,15673434
MAB21L2,RAD23B,19182904
NEDD4,YWHAQ,15677482
GRM6,UBE2I,21288202
CRMP1,GNE,17118363
CSK,KLHL1,16982692
CANX,PSMC5,22486777
TPI1,UBC,22871113
DMD,PTK2,16935300
BTG2,HDAC1,17371797
STX3,STXBP2,7768895
CAV1,CLIC4,11563969
STX3,STXBP1,8108429;7768895;8996080
ABL1,WASF1,10970852
MOB4,NME2,11872741
PIAS2,TOLLIP,19198660
UBC,YOD1,22871113
CHRNA9,RAPSN,18420419
LMNB1,PLEC,2023931
NEDD4L,PRKAA2,16844684
ACTN2,FBXL22,22972877
LPHN1,UBC,22871113
KCNQ2,UBC,17322297;22871113
CREBBP,SOX9,15722556
KATNA1,STXBP1,23904609
TCEAL1,UBC,22871113
HSP90AA1,KSR1,10409742
EP300,SP1,10362258
KSR1,YWHAB,10409742
AP3D1,PI4K2A,23146885
EP300,SOX9,16109717
CAPZB,UBC,22871113
HIST1H4B,PARP1,15607978
CCT8,UBC,22871113
TGFBR2,UBC,22964853
CLIC4,UBC,22871113
UBC,WARS,22871113
DPYSL3,UBC,22871113
UBC,VPS26A,22871113
DACT3,PRKCA,21718540
ARHGDIA,UBC,22871113
DYNLL1,UBE2K,14760703
SYNJ2BP,UBC,22871113
ADCY9,UBC,22871113
ARL2,UBC,22871113
UBC,UBQLN2,22871113
CDC20,CDC27,22045811
FEM1B,PPM1F,11559703
UBC,UBQLN1,22871113
ATP6V1E1,UBC,22871113
FCHO2,ITSN2,20448150
ITGB1,PTK2,16935300
RAB6A,UBC,22871113
SMPD3,UBC,22871113
ABL1,AGTR1A,16151024
PDCD6IP,UBC,22871113
CASK,CASKIN1,12040031;19523119
ESR1,STUB1,21808025
CD2AP,RET,18753381
EGLN3,WDR83,16407229
NME2,UBC,22871113
CASKIN1,NRXN2,19523119
CYP1A1,HSP90AA1,19401463
PSMC6,UBC,22871113
PI4K2A,UBC,23146885
GCM2,UBC,22871113
AMPH,AP2A1,9259551;16903783;11382783
AMPH,AP2A2,8552632;10430869;17762867
DDB1,UBC,22871113
EPS15,SGIP1,19713939
PLXNB1,RND3,14732713
AKT1,SMAD3,16362038
TIMM8B,UBC,22871113
NTRK1,UBC,18419753
MAP2,MARK1,8631898
CBFB,RUNX2,20197312
KCNA6,UBC,22871113
RHOA,TTC3,17488780
PKN1,ZFAND6,11054541
HIP1,UBC,22871113
CYP3A62,UBC,20819951;12626652
DNM1,GRB2,9259551
SKIL,SMURF2,20386537
REN,TSC1,10807585
IRS1,SQSTM1,22761437
NPLOC4,UFD1L,10811609;22232657
ARHGAP9,MAPK1,17284314
EIF5A,MVK,20167237
ABCD3,ARF6,19686593
C2,PSMD14,9688553
DLG4,GRASP,12586822
APBB1,NEDD4L,19381069
RARA,SP1,22337869
SHC1,SOS1,12008030
GABARAP,GABRG2,10900017
GABARAP,GABRG1,10900017
BAIAP2,EPS8L1,14596909
JAK2,STAT5A,12538627;10757801
NEDD8,UBC,22871113
PEX19,PXMP2,11590176
DACT2,P120CTN,21718540
SMAD3,ZEB1,16824956
NXF7,RAD23B,19182904
EPS15,GRIA1,25023288
TEKT2,UBC,22871113
LDHA,UBC,22871113
GPR37L1,UBC,22871113
CLIC4,DNM1,11563969
GIT1,PXN,12153727
